Treatment,Site,Site Name,Subplot,December 2012 plot surveyed,Lab Book Number,Ehrharta December 2012,Rubus December 2012,Fragaria December 2012,Stachys December 2012,Clinopodium December 2012,Symphoricarpos albus var. laevigaus,Symphoricarpos December 2012,Carex December 2012,Carex globosa,Iris douglasiana December 2012,Geranium molle December 2012,Geranium sp,Juncus patens,Juncus December 2012,Sanicula December 2012,Cotoneaster pannosus ,Cotoneaster December 2012 ,Bracken Fern December 2012,Sword Fern December 2012,Wood fern Dryopteris arguta December 2012,Quercus agrifolia,Quercus sp December 2012,Myosotis December 2012,Bay Laurel December 2012,Melissa officinalis Lemon Balm,Euphorbia peplus,Cardamine oligosperma,Oval Cots took pic,Stellaria maybe Round Cots,Unknown 6 purple jointed grass,Round Cots like those drawn on page 26,Unknown 28,Galium,Galium californicum,Fuzzy Cots with Long String Cots,Round Hairless Cots (Unknown 24 maybe),Oval Hairless Cots (Unknown 24 maybe),Baby PSME maybe,Unknown 3,Unknown 5,Unknown 7,
Control,3,McHenry Valley,1st,2,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Control,3,McHenry Valley,2nd ,5,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
Control,3,McHenry Valley,3rd,6,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Herbicide,3,McHenry Valley,3rd,7,1,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Herbicide,3,McHenry Valley,1st,3,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Herbicide,3,McHenry Valley,2nd ,1,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pull,3,McHenry Valley,1st,2,1,161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pull,3,McHenry Valley,2nd ,5,1,127,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pull,3,McHenry Valley,3rd,7,1,198,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Control,4,Meyer/Heller,3rd,2,1,88,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
