Treatment,Site,Site Name,Subplot,Jan-Feb 2013 plot surveyed,Lab Book Number,Ehrharta Jan-Feb 2013,Rubus Jan-Feb 2013,Fragaria Jan-Feb 2013,Stachys Jan-Feb 2013,Clinopodium Jan-Feb 2013,Symphoricarpos mollis,Symphoricarpos albus var. laevigaus,Symphoricarpos Jan-Feb 2013,Lonicera Jan-Feb 2013,Carex globosa,Carex Jan-Feb 2013,Geranium molle ,Geranium Jan-Feb 2013,Oxalis pes capre Jan-Feb 2013,Miner's Lettuce Jan-Feb 2013,Juncus patens Jan-Feb 2013,Sanicula Jan-Feb 2013,Psuedotsuga menziezii Jan-Feb 2013,Cotoneaster pannosus,Sword Fern Jan-Feb 2013,Quercus agrifolia,Quercus sp Jan-Feb 2013,Myosotis Jan-Feb 2013,Bay Laurel Jan-Feb 2013,Iris douglasiana Jan-Feb 2013,Polygala californica Jan-Feb 2013,Oxalis oregana,Fuzzy Aster,Small Round Cot,Small Lemon-shaped leaves with oval cots,Lemon Cots,Lemon leafed cot,Unknown Rd Cot See Pic,"""Lima bean shaped Cot""",?,Lemon Shaped Leaves,Unk compound lf,Galium californicum,Galium parisiense,Galium aparine,Galium
Control,1,Bookstore,1st,3,3,223,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,2,0,0
Control,1,Bookstore,2nd ,7,4,295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Control,1,Bookstore,3rd,6,4,189,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,1,Bookstore,1st,8,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,1,Bookstore,2nd ,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,1,Bookstore,3rd,9,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,1,Bookstore,1st,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,1,Bookstore,2nd ,8,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,1,Bookstore,3rd,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Control,2,McHenry Dumpster,1st,7,3,32,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,2,McHenry Dumpster,2nd ,1,3,31,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,2,McHenry Dumpster,3rd,9,3,45,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,2,McHenry Dumpster,1st,1,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,2,McHenry Dumpster,2nd ,4,3,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,2,McHenry Dumpster,3rd,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,2,McHenry Dumpster,1st,5,3,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,2,McHenry Dumpster,2nd ,4,3,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,2,McHenry Dumpster,3rd,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,3,McHenry Valley,1st,4,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,3,McHenry Valley,2nd ,1,3,90,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Control,3,McHenry Valley,3rd,8,4,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
