Treatment,Site,Site Name,Subplot,May-June 2013 plot surveyed,Lab Book Number,Ehrharta May-June 2013,Rubus May-June 2013,Fragaria May-June 2013,Stachys May-June 2013,Clinopodium May-June 2013,Symphoricarpos albus var. laevigatus,Symphoricarpos mollis,Caprifoliaceae sp,Lonicera hispidula,Carex globosa,Poison Oak May-June 2013,Rosa gymnocarpa,Oxalis pes capre May-June 2013,Adenocaulon bicolor May-June 2013,Miner's Lettuce May-June 2013,Juncus patens,Sanicula May-June 2013,Cotoneaster  pannosus May-June 2013 ,Wood fern Dryopteris arguta May-June 2013,Quercus agrifolia,Quercus parvula var. shrevei,Quercus sp May-June 2013,Myosotis May-June 2013,Bracken Fern May-June 2013,Bay Laurel May-June 2013,Iris douglasiana May-June 2013,Viola ocellata,Cynoglossum grande,Eurybia radulina June 2013,Anisocarpus madioides May-June 2013,Vicia sativa ssp. nigra May-June 2013,Hedera helix,Euphorbia peplus ,Briza maxima,Nemophila parviflora June 2013,Cardamine oligosperma,Carduus pycnocephalus,Hordeum murinum subsp. leporinum ,Polygala californica,Bellis perennis  May-June 2013,Torilis arvensis,Carrot May-June 2013,unkown sharp thin lobed; carrot-esque,Rumex?,Unkown Lemonlv,Melica subulata,unknown grass look like illistration bk6 pg27(band151),Bromus catharticus var catharticus,UNK2,UNK 3,unkown b(sanicula?),unkown spiky hairy lvs--lots of Rubus in area,unknown A(rumex?),tiny rasberry leaf (pic in book 2 pg40),picris-like(pic ,Galium triflorum,Galium californica,Galium parisiense ,Galium aparine,Gallium?(6),"Grimace shaped cots, symp or lonicera pg 27"
Control,1,Bookstore,1st,9,6,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,1,Bookstore,2nd ,4,2,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,1,Bookstore,3rd,2,2,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Herbicide,1,Bookstore,1st,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,1,Bookstore,2nd ,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,1,Bookstore,3rd,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,1,Bookstore,1st,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,1,Bookstore,2nd ,7,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pull,1,Bookstore,3rd,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0
Reference,1,Bookstore,1st,8,5,3,21,0,1,6,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reference,1,Bookstore,2nd ,7,5,0,23,0,17,16,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
