Treatment,Site,Site Name,Subplot,Oct '14 plot surveyed,Ehrharta erecta,Rubus ursinus,Fragaria vesca,Stachys bullata,Clinopodium douglasii,Symphoricarpos alba var. laevigatus,Symphoricarpos mollis,Symphoricarpos ,Caprifoliaceae sp,Lonicera hispidula ,Carex globosa,Geranium molle ,Toxicodendron diversilobum,Juncus patens,Psuedotsuga menziezii ,Cotoneaser pannosus,Polystichum munitum,Dryopteris arguta ,Pteridium aquilinum var. pubescens,Quercus agrifolia,Bay Laurel ,Iris douglasiana ,Adenalcolen bicolor,Viola ocellata,Maianthemum  racemosa ,Melica subulata,Eurybia radulina,Galium californicum,Galium triflorum,smooth cots to hairy adult leaves aster,unknown opposite ,Unknown oppposite oval leaves,long thorn hairy aster,Dark green grimace esc plant alt lvs leathery texture no smell
Control,2,McHenry Dumpster,1st,1,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,2,McHenry Dumpster,2nd ,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,2,McHenry Dumpster,3rd,4,46,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,2,McHenry Dumpster,1st,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,2,McHenry Dumpster,2nd ,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbicide,2,McHenry Dumpster,3rd,8,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,2,McHenry Dumpster,1st,4,94,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Pull,2,McHenry Dumpster,2nd ,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pull,2,McHenry Dumpster,3rd,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reference,2,McHenry Dumpster,1st,1,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reference,2,McHenry Dumpster,2nd ,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reference,2,McHenry Dumpster,3rd,5,0,5,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
