Treatment	Site Name	Subplot	Percent Cover Native	Percent Cover Non-Native	Total Percent Cover	Species Richness	Rubus Oct 2014	Fragaria Oct 2014	Stachys Oct 2014	Clinopodium Oct 2014	Symphoricarpus Oct 2014	Carex Oct 2014	Poison Oak Oct 2014	Lonicera Oct 2014	Psuedotsuga menziezii Oct 2014	Gallium 4 Lvs Oct 2014	Wood fern Dryopteris arguta Oct 2014	Quercus sp Oct 2014	Bracken Fern Oct 2014	Bay Laurel Oct 2014	Iris douglasii Oct 2014	Adenalcolen bicolor Oct 14	Long grass with oval seeds (same as parking garage) Oct 14	Ehrharta Oct 2014	smooth cots to hairy adult leaves aster Oct 2014	unknown opposite Oct 14	Unknown oppposite oval leaves Oct 14	"Alternate leaves, lobe-like venation Oct 14"	jagged edged forget-me-not Oct 14	Geranium Oct 2014	Cotoneaster Oct 2014 
Control	McHenry Dumpster	1st	4	38	42	3	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	38	0	0	0	0	0	0	0
Control	McHenry Dumpster	2nd 	0	45	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
Control	McHenry Dumpster	3rd	5	46	51	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0
Control	McHenry Valley	1st	0	247	247	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0
Control	McHenry Valley	2nd 	0	131	131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Control	McHenry Valley	3rd	0	78	78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0
Control	Meyer/Heller	1st	0	166	165	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	2	1	1	0	0	1	0
Control	Meyer/Heller	2nd 	0	121	118	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	1	0	0	0	3
Control	Meyer/Heller	3rd	2	109	111	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0
Control	Lower Heller	1st	46	247	293	4	44	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0
Control	Lower Heller	2nd 	17	185	202	4	3	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0
Control	Lower Heller	3rd	39	132	171	3	13	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Control	Merry-go-round	1st	38	7	45	3	0	3	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	7	0	0	0	0	0	0	0
Control	Merry-go-round	2nd 	29	0	29	4	5	1	0	0	0	0	0	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Control	Merry-go-round	3rd	51	0	51	5	10	0	0	0	0	0	0	20	5	0	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0
Control	Red Hill	1st	1	15	16	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
Control	Red Hill	2nd 	2	1	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Control	Red Hill	3rd	0	51	51	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		51	0	0	0	0		0	0
